City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
233,Riyadh,SA,24.6877,46.7219,104.14,8,4,2.19,clear sky
234,The Valley,AI,18.217,-63.0578,83.1,89,40,8.05,thunderstorm
235,Hilo,US,19.7297,-155.09,76.28,94,90,8.05,moderate rain
236,Manokwari,ID,-0.8667,134.0833,79.32,82,98,4.92,overcast clouds
237,Vila Velha,BR,-20.3297,-40.2925,80.55,69,0,13.8,clear sky
238,Lebu,CL,-37.6167,-73.65,47.08,68,96,15.03,overcast clouds
239,Phu Ly,VN,20.5411,105.9139,80.4,79,99,5.46,moderate rain
240,Fortuna,US,40.5982,-124.1573,54.36,74,90,0.0,overcast clouds
241,Dingle,PH,10.9995,122.6711,78.4,88,96,1.23,moderate rain
242,Boa Vista,BR,2.8197,-60.6733,80.58,78,40,4.61,scattered clouds
243,Taltal,CL,-25.4,-70.4833,57.56,72,1,1.14,clear sky
244,Muros,ES,42.7762,-9.0603,69.85,85,100,18.32,overcast clouds
245,Bor,RU,56.3567,44.0669,46.33,51,70,4.23,broken clouds
246,Maku,IR,39.2911,44.4521,64.83,46,10,6.02,clear sky
247,Yeppoon,AU,-23.1333,150.7333,71.38,68,1,8.7,clear sky
248,Bhag,PK,29.0415,67.8239,100.06,30,99,7.78,overcast clouds
249,Norman Wells,CA,65.282,-126.8329,32.61,95,25,4.32,scattered clouds
250,Narsaq,GL,60.9167,-46.05,34.02,42,5,4.32,clear sky
251,Saint-Pierre,RE,-21.3393,55.4781,78.48,61,90,19.57,overcast clouds
252,Altamira,BR,-3.2033,-52.2064,74.32,96,99,3.06,overcast clouds
253,Kovylkino,RU,54.0388,43.9139,54.72,54,6,5.73,clear sky
254,Clyde River,CA,70.4692,-68.5914,36.41,86,100,10.0,overcast clouds
255,Tromso,NO,69.6496,18.957,59.65,71,40,3.44,scattered clouds
256,Vao,NC,-22.6667,167.4833,70.74,89,100,18.59,moderate rain
257,Yaan,NG,7.3833,8.5667,81.54,75,95,4.99,overcast clouds
258,Mecca,SA,21.4267,39.8261,104.72,13,2,11.03,clear sky
259,Cherepovets,RU,59.1333,37.9,49.82,71,75,2.24,broken clouds
260,Wynyard,AU,-41.0,145.7167,57.96,96,100,4.85,overcast clouds
261,Esperance,AU,-33.8667,121.9,58.41,69,16,12.1,light rain
262,Adrar,MR,20.5022,-10.0711,97.5,6,1,9.13,clear sky
263,Eureka,US,40.8021,-124.1637,54.63,95,59,2.91,broken clouds
264,Kathmandu,NP,27.7167,85.3167,75.42,69,75,4.61,broken clouds
265,Flin Flon,CA,54.7682,-101.865,49.84,76,20,6.91,few clouds
266,Nishihara,JP,26.1842,127.7558,81.68,66,20,9.22,few clouds
267,Bauru,BR,-22.3147,-49.0606,70.74,83,0,2.3,heavy intensity rain
268,Baruun-Urt,MN,46.6806,113.2792,50.68,50,62,25.34,broken clouds
269,Tezu,IN,27.9167,96.1667,81.73,85,49,0.96,scattered clouds
270,Lasa,IT,46.6166,10.7002,65.03,56,57,4.88,broken clouds
271,Labytnangi,RU,66.6572,66.4183,36.41,76,100,4.05,overcast clouds
272,Sioux Lookout,CA,50.1001,-91.917,57.27,100,90,4.61,mist
273,Zalari,RU,53.5584,102.5065,37.83,79,100,9.69,overcast clouds
274,Santa Rosa,PH,14.3122,121.1114,84.18,79,100,5.91,overcast clouds
275,Ostrovnoy,RU,68.0531,39.5131,48.97,63,81,17.56,broken clouds
